Issac Newton
Julia Michaels
Ben Frank
Noam Chomsky
Jerry
Suzanne Collins
JK Rowling
Stephenie Meyer
Harper Lee
F Scott Fitzgerald
John Green
JRR Tolkien
JD Salinger
Dan Brown
Jane Austen
Khaled Hosseini
Veronica Roth
George Orwell
George Orwell
Anne Frank
Stieg Larsson
Suzanne Collins
JK Rowling
Alice Sebold
William Golding
William Shakespeare
Gillian Flynn
Kathryn Stockett
John Steinbeck
Arthur Golden
EL James
Paulo Coelho
Lois Lowry
CS Lewis
Audrey Niffenegger
George RR Martin
Elizabeth Gilbert
Rick Riordan
Louisa May Alcott
Charlotte Bront
Nicholas Sparks
Yann Martel
Sara Gruen
Markus Zusak
Ray Bradbury
Shel Silverstein
Cassandra Clare
Christopher Paolini
Douglas Adams
Aldous Huxley
Sue Monk Kidd
Mark Twain
EB White
Mark Haddon
Paula Hawkins
Philip Pullman
Emily Bront
Jodi Picoult
Kurt Vonnegut Jr
Margaret Mitchell
Stephen Chbosky
Orson Scott Card
Mary Wollstonecraft Shelley
Stephen King
Helen Fielding
Jane Austen
Louis Sachar
Lauren Weisberger
Homer
Antoine de Saint-Exupry
Jeannette Walls
Jon Krakauer
Charles Dickens
Michael Crichton
John Grisham
Elie Wiesel
William Goldman
SE Hinton
James Dashner
Steven D Levitt
Frances Hodgson Burnett
Gabriel
Oscar Wilde
Bram Stoker
Barbara Kingsolver
